color_name,hex,R,G,B,color_class
Deep Carrot Orange,#f06f20,240,111,32,Orange
Medium Orchid,#c042ce,192,66,206,Pink
Xanadu,#6f8779,111,135,121,Grey
Medium Purple,#9187e8,145,135,232,Blue
Cerulean Frost,#6e96ae,110,150,174,Blue
Blue-Green,#2193b6,33,147,182,Blue
Earth Yellow,#e5b35d,229,179,93,Yellow
Café Noir,#524022,82,64,34,Brown
Medium Aquamarine,#5cc8a6,92,200,166,Green
Twilight Lavender,#825563,130,85,99,Brown
Tiger'S Eye,#e68340,230,131,64,Orange
Rose Gold,#b46271,180,98,113,Brown
Dollar Bill,#8fbe4d,143,190,77,Green
Rose Taupe,#755d60,117,93,96,Grey
Jazzberry Jam,#9c0e66,156,14,102,Purple
Han Purple,#3b13ed,59,19,237,Blue
Tiffany Blue,#05b5c7,5,181,199,Blue
Green-Yellow,#b5f53b,181,245,59,Green
Han Purple,#5916dd,89,22,221,Blue
Tea Rose (Rose),#eaccc5,234,204,197,White
Raspberry,#e20d5d,226,13,93,Pink
Mountbatten Pink,#a77d90,167,125,144,Grey
Bright Green,#61ee2d,97,238,45,Green
Inchworm,#aae95d,170,233,93,Green
Cornflower Blue,#7089f1,112,137,241,Blue
Dark Red,#8b0400,139,4,0,Red
Pastel Green,#7ccc7e,124,204,126,Green
Green (Crayola),#15a472,21,164,114,Green
Blue (Crayola),#2f74f7,47,116,247,Blue
Carnation Pink,#fe94d2,254,148,210,Pink
Teal,#0f7e87,15,126,135,Green
Mountbatten Pink,#9b7997,155,121,151,Purple
Fawn,#e5b17b,229,177,123,Orange
Celadon,#b3e5b8,179,229,184,Green
Green (Ryb),#5ddc29,93,220,41,Green
Dark Sea Green,#87c197,135,193,151,Green
Lava,#d71825,215,24,37,Red
Purple Heart,#5a42a0,90,66,160,Purple
Dark Magenta,#940c88,148,12,136,Purple
Royal Purple,#7e4eb9,126,78,185,Blue
Pine Green,#188070,24,128,112,Green
Violet-Blue,#305dab,48,93,171,Blue
Robin Egg Blue,#01dacd,1,218,205,Blue
Han Blue,#3d58ca,61,88,202,Blue
Medium Aquamarine,#5ce8bd,92,232,189,Green
Deep Lilac,#935cb3,147,92,179,Purple
Byzantine,#c21da7,194,29,167,Pink
Lime Green,#1fc503,31,197,3,Green
Dark Salmon,#e5927a,229,146,122,Orange
Fern Green,#5b874d,91,135,77,Green
Royal Purple,#5451ab,84,81,171,Blue
Dark Byzantium,#56395f,86,57,95,Purple
Burnt Orange,#ca550c,202,85,12,Orange
Red-Violet,#d50b93,213,11,147,Pink
Sap Green,#538e29,83,142,41,Green
Pastel Green,#78ec6c,120,236,108,Green
Psychedelic Purple,#df33f6,223,51,246,Pink
Ufo Green,#47cf73,71,207,115,Green
Inchworm,#c3fe4d,195,254,77,Yellow
Turquoise Green,#a5d4c7,165,212,199,Grey
Orchid,#ce61ea,206,97,234,Pink
Pale Cerulean,#99c8df,153,200,223,Blue
Dark Pastel Green,#15c21f,21,194,31,Green
Pale Copper,#c58a63,197,138,99,Brown
Mulberry,#c05493,192,84,147,Pink
Rosewood,#5e1709,94,23,9,Brown
Green (Ryb),#69e83c,105,232,60,Green
Sky Magenta,#d056ab,208,86,171,Pink
Portland Orange,#fe6233,254,98,51,Orange
Dark Pastel Blue,#7288ce,114,136,206,Blue
Inchworm,#c8f057,200,240,87,Yellow
Old Gold,#c2c422,194,196,34,Green
Slate Blue,#6369d7,99,105,215,Blue
Pear,#c3da32,195,218,50,Yellow
Screamin' Green,#67f68b,103,246,139,Green
Paris Green,#51db82,81,219,130,Green
Blue (Ryb),#1a53fa,26,83,250,Blue
Yellow-Green,#8dde38,141,222,56,Green
Turquoise Green,#a4d7ca,164,215,202,Green
Jungle Green,#2a9b96,42,155,150,Blue
Medium Spring Bud,#c4ee93,196,238,147,Yellow
Wine Dregs,#7b3146,123,49,70,Brown
Tyrian Purple,#6f093d,111,9,61,Brown
Alloy Orange,#c25414,194,84,20,Orange
Bright Ube,#d4aae1,212,170,225,Pink
Lavender Indigo,#9a5bed,154,91,237,Purple
Moonstone Blue,#5aacba,90,172,186,Blue
Forest Green (Web),#15af1f,21,175,31,Green
International Klein Blue,#0032a7,0,50,167,Blue
Meat Brown,#eac036,234,192,54,Yellow
Rose Quartz,#aa91a9,170,145,169,Grey
Dark Lavender,#5c518f,92,81,143,Blue
Citrine,#d9dc11,217,220,17,Yellow
Black Leather Jacket,#25382e,37,56,46,Grey
Copper Penny,#ae625a,174,98,90,Brown
Caput Mortuum,#5a2211,90,34,17,Brown
Ufo Green,#35e773,53,231,115,Green
Amethyst,#9b63ca,155,99,202,Purple
Venetian Red,#cb080a,203,8,10,Red
Almond,#f0dad2,240,218,210,White
Byzantine,#b93398,185,51,152,Purple
Pale Silver,#d8c3b6,216,195,182,Grey
Boysenberry,#873969,135,57,105,Purple
Satin Sheen Gold,#c9922d,201,146,45,Yellow
Limerick,#79c70d,121,199,13,Green
Bright Cerulean,#1abfd1,26,191,209,Blue
Dark Sea Green,#84b997,132,185,151,Green
Burlywood,#deb684,222,182,132,Brown
Aquamarine,#6ae8e4,106,232,228,Blue
Plum (Traditional),#8d457c,141,69,124,Purple
Copper,#9e7036,158,112,54,Brown
Lime (Color Wheel),#b8fc15,184,252,21,Green
Sinopia,#d54604,213,70,4,Orange
Vegas Gold,#d8bf5a,216,191,90,Yellow
Straw,#d7dd71,215,221,113,Yellow
Peru,#d37a44,211,122,68,Brown
Dark Magenta,#ac0a9b,172,10,155,Purple
Jazzberry Jam,#b30060,179,0,96,Pink
Lime Green,#3fbd45,63,189,69,Green
Pale Lavender,#decbf5,222,203,245,Blue
Cornflower Blue,#48b3f0,72,179,240,Blue
June Bud,#bdd774,189,215,116,Green
Blue (Pigment),#26339b,38,51,155,Blue
Pearl Aqua,#7cd6d4,124,214,212,Blue
Medium Turquoise,#4bcebc,75,206,188,Green
Ultramarine Blue,#3859f1,56,89,241,Blue
Medium Spring Green,#09e98e,9,233,142,Green
Celadon Green,#35817e,53,129,126,Green
Steel Blue,#408898,64,136,152,Blue
Palatinate Blue,#2830cf,40,48,207,Blue
Lime (Web) (X11 Green),#0fe706,15,231,6,Green
Dodger Blue,#1d8cef,29,140,239,Blue
United Nations Blue,#608fe8,96,143,232,Blue
Medium Aquamarine,#6bdd92,107,221,146,Green
Pakistan Green,#0a6201,10,98,1,Green
Ultramarine,#13119b,19,17,155,Blue
Byzantine,#c231ae,194,49,174,Pink
Lime (Color Wheel),#badb10,186,219,16,Yellow
Carrot Orange,#f1a226,241,162,38,Orange
Deep Carrot Orange,#e06a30,224,106,48,Orange
Rose Gold,#b76472,183,100,114,Brown
Dark Green,#092f1e,9,47,30,Green
Celadon Green,#2d859d,45,133,157,Blue
Electric Ultramarine,#2b03df,43,3,223,Blue
Pale Carmine,#b1493a,177,73,58,Brown
St. Patrick'S Blue,#233e8b,35,62,139,Blue
Granny Smith Apple,#b7f6a3,183,246,163,Green
Blue (Pigment),#38459a,56,69,154,Blue
Neon Fuchsia,#f33e58,243,62,88,Red
Denim,#1360a7,19,96,167,Blue
Razzle Dazzle Rose,#dc2cbe,220,44,190,Pink
Purple (Munsell),#a00ba7,160,11,167,Purple
Lime Green,#2fb933,47,185,51,Green
Sapphire Blue,#0b609d,11,96,157,Blue
Citrine,#e2dd0e,226,221,14,Yellow
Rich Maroon,#a4276f,164,39,111,Purple
Brass,#b1a725,177,167,37,Green
Heliotrope,#cf61f4,207,97,244,Pink
Urobilin,#e9a82b,233,168,43,Yellow
Green (Ryb),#69c43e,105,196,62,Green
Light Sea Green,#23c5ac,35,197,172,Green
Limerick,#a4ad04,164,173,4,Green
Tiffany Blue,#10bc9d,16,188,157,Blue
Celestial Blue,#3ea5c4,62,165,196,Blue
Neon Fuchsia,#fa485b,250,72,91,Red
French Raspberry,#d2334f,210,51,79,Red
Medium Purple,#9285da,146,133,218,Purple
Plum (Web),#e68ed4,230,142,212,Pink
Green-Yellow,#88f02c,136,240,44,Green
Tyrian Purple,#2b0142,43,1,66,Black
Pale Carmine,#a85235,168,82,53,Brown
Medium Candy Apple Red,#e7072c,231,7,44,Red
Vegas Gold,#bfae52,191,174,82,Yellow
Regalia,#533b7b,83,59,123,Blue
Cal Poly Green,#0b4e28,11,78,40,Green
Crimson Glory,#a7022d,167,2,45,Red
Medium Slate Blue,#6a71fb,106,113,251,Blue
Saddle Brown,#934a1e,147,74,30,Brown
Vivid Auburn,#93211e,147,33,30,Brown
Pear,#c7d929,199,217,41,Yellow
Blue,#051cfe,5,28,254,Blue
Dark Raspberry,#8a1c5a,138,28,90,Purple
Pale Silver,#c8c7b2,200,199,178,Grey
Midnight Blue,#1e1a5e,30,26,94,Blue
Neon Fuchsia,#f94364,249,67,100,Pink
Mint,#3dbc8e,61,188,142,Green
Jazzberry Jam,#9c0154,156,1,84,Purple
Veronica,#a423ea,164,35,234,Purple
Pale Silver,#ccc9a7,204,201,167,Grey
Green (Ryb),#84b831,132,184,49,Green
Seal Brown,#330940,51,9,64,Purple
Brass,#bbab2e,187,171,46,Yellow
Medium Spring Green,#05f895,5,248,149,Green
Sea Green,#1d9066,29,144,102,Green
Light Green,#94ed9e,148,237,158,Green
Teal Blue,#297990,41,121,144,Blue
Yellow-Green,#88ed38,136,237,56,Green
Red-Brown,#a3312e,163,49,46,Brown
Medium Aquamarine,#3ee9a0,62,233,160,Green
Camouflage Green,#828e67,130,142,103,Grey
Green (Ncs),#169669,22,150,105,Green
Toolbox,#6370ca,99,112,202,Blue
Saddle Brown,#8d520d,141,82,13,Brown
Psychedelic Purple,#de0edd,222,14,221,Pink
Pansy Purple,#781763,120,23,99,Purple
Turquoise,#24e6c4,36,230,196,Green
Blue (Pigment),#3b199c,59,25,156,Blue
Persian Indigo,#390ca7,57,12,167,Blue
Persian Blue,#2a18c6,42,24,198,Blue
University Of California Gold,#c3831b,195,131,27,Orange
Rich Electric Blue,#038dc9,3,141,201,Blue
Ube,#897ecc,137,126,204,Purple
Spring Green,#15ec7c,21,236,124,Green
Han Purple,#3c1be1,60,27,225,Blue
Up Forest Green,#02400c,2,64,12,Green
Teal Blue,#416d8b,65,109,139,Blue
Cadmium Yellow,#f2f609,242,246,9,Yellow
Green (Crayola),#23a17a,35,161,122,Green
Yale Blue,#11458e,17,69,142,Blue
Myrtle,#2a3e0c,42,62,12,Green
Light Thulian Pink,#e489c9,228,137,201,Pink
Upsdell Red,#ac1128,172,17,40,Red
Purple Heart,#6217a2,98,23,162,Purple
Psychedelic Purple,#e717e7,231,23,231,Pink
Ball Blue,#26bbca,38,187,202,Blue
Toolbox,#6d72da,109,114,218,Purple
Medium Purple,#9573f0,149,115,240,Purple
Celadon Green,#238671,35,134,113,Green
Deep Magenta,#c900e0,201,0,224,Pink
Melon,#f6bbb8,246,187,184,Orange
Dark Slate Blue,#464c83,70,76,131,Blue
Vivid Cerise,#d6267e,214,38,126,Pink
Azure,#087ff6,8,127,246,Blue
Green-Yellow,#82fa40,130,250,64,Green
India Green,#0d9908,13,153,8,Green
Byzantium,#720e5e,114,14,94,Purple
Razzle Dazzle Rose,#f52ec0,245,46,192,Pink
Ochre,#c7770f,199,119,15,Orange
Byzantine,#bf2aac,191,42,172,Purple
Twilight Lavender,#764e66,118,78,102,Brown
Light Pastel Purple,#adaad9,173,170,217,Grey
Rich Electric Blue,#1d89d5,29,137,213,Blue
Oxford Blue,#010e56,1,14,86,Blue
Medium Turquoise,#51ced0,81,206,208,Blue
Celadon Green,#2c9481,44,148,129,Green
Forest Green (Web),#228132,34,129,50,Green
Palatinate Purple,#463061,70,48,97,Purple
Straw,#d3fb74,211,251,116,Yellow
Salmon,#fc8561,252,133,97,Orange
Ruby Red,#991810,153,24,16,Red
Rose Pink,#f96fd7,249,111,215,Pink
Green (Ryb),#6a9e41,106,158,65,Green
Neon Green,#45f72f,69,247,47,Green
Flame,#e96216,233,98,22,Orange
Charcoal,#37224f,55,34,79,Purple
Medium Aquamarine,#61bfaf,97,191,175,Green
Verdigris,#55c0a5,85,192,165,Green
Veronica,#c31be9,195,27,233,Purple
Kelly Green,#60bc17,96,188,23,Green
Pastel Violet,#c69acb,198,154,203,Pink
Copper,#b3722a,179,114,42,Brown
Ferrari Red,#f32f05,243,47,5,Orange
Violet (Ryb),#690bc2,105,11,194,Purple
Android Green,#a0cd3e,160,205,62,Green
Lavender Indigo,#8957d2,137,87,210,Purple
Persian Rose,#e932a4,233,50,164,Pink
Han Blue,#3169c7,49,105,199,Blue
Antique Ruby,#8c093b,140,9,59,Brown
Blush,#de4987,222,73,135,Pink
Medium Aquamarine,#3fe0a4,63,224,164,Green
Duke Blue,#1800aa,24,0,170,Blue
Palatinate Purple,#661073,102,16,115,Purple
Indian Red,#c35956,195,89,86,Orange
Pale Blue,#b8f4e9,184,244,233,Green
India Green,#1a7b04,26,123,4,Green
Umber,#606a49,96,106,73,Green
Palatinate Blue,#2152eb,33,82,235,Blue
Iris,#5447c7,84,71,199,Blue
Pear,#c9ca26,201,202,38,Yellow
Lavender Rose,#f698eb,246,152,235,Pink
Aurometalsaurus,#6a7f79,106,127,121,Grey
Shadow,#897c70,137,124,112,Grey
Myrtle,#154b1d,21,75,29,Green
Kelly Green,#55e422,85,228,34,Green
Taupe Gray,#948b90,148,139,144,Grey
Dark Goldenrod,#baa80c,186,168,12,Yellow
Neon Green,#4bfa3c,75,250,60,Green
Tyrian Purple,#6b0335,107,3,53,Purple
Tyrian Purple,#580948,88,9,72,Purple
Rose Pink,#fc5abf,252,90,191,Pink
Msu Green,#214544,33,69,68,Green
Lavender Gray,#bec9ca,190,201,202,Grey
Lawn Green,#77fd12,119,253,18,Green
Dogwood Rose,#d92059,217,32,89,Pink
Tea Green,#dbefcb,219,239,203,Yellow
Medium Turquoise,#3bc7ce,59,199,206,Blue
Tufts Blue,#4176bd,65,118,189,Blue
Dark Spring Green,#227a4c,34,122,76,Green
Myrtle,#1b4421,27,68,33,Green
Pale Violet-Red,#e3698a,227,105,138,Pink
Pastel Magenta,#e3a0c1,227,160,193,Pink
Medium Spring Bud,#c0dd71,192,221,113,Yellow
Violet (Web),#ee74e6,238,116,230,Pink
Pear,#d3f14e,211,241,78,Yellow
Pastel Purple,#b99fb2,185,159,178,Grey
Red-Violet,#bf068e,191,6,142,Purple
Gold (Metallic),#d5ad40,213,173,64,Yellow
Pastel Brown,#776659,119,102,89,Grey
Mountain Meadow,#2bbe8d,43,190,141,Green
Pastel Green,#73da86,115,218,134,Green
British Racing Green,#0a5c27,10,92,39,Green
Orchid,#cd71d0,205,113,208,Pink
Blue Bell,#a6a1e7,166,161,231,Blue
Dark Orchid,#a73de2,167,61,226,Purple
Rich Lavender,#b172c5,177,114,197,Pink
Lavender Indigo,#8350f1,131,80,241,Blue
Yellow-Green,#91ac2f,145,172,47,Green
Dollar Bill,#80b87d,128,184,125,Green
Glaucous,#6076b0,96,118,176,Blue
Pale Spring Bud,#f1f9b7,241,249,183,Yellow
Dark Raspberry,#80285e,128,40,94,Brown
Rich Lavender,#b16aca,177,106,202,Pink
Spring Green,#09f277,9,242,119,Green
Plum (Traditional),#8d4577,141,69,119,Purple
Ufo Green,#2bcc6a,43,204,106,Green
Fuchsia (Crayola),#d747b7,215,71,183,Pink
Charcoal,#2f3253,47,50,83,Blue
Stormcloud,#49685b,73,104,91,Grey
Palatinate Blue,#4b34e9,75,52,233,Blue
Dark Green,#023713,2,55,19,Green
Medium Aquamarine,#79e3ae,121,227,174,Green
Turquoise,#24cdc2,36,205,194,Blue
Meat Brown,#ebb331,235,179,49,Orange
Purple Pizzazz,#ed5de3,237,93,227,Pink
Gold (Metallic),#d7bd33,215,189,51,Yellow
Eggshell,#eeefd3,238,239,211,Green
Umber,#64504b,100,80,75,Brown
Red (Ryb),#f51e17,245,30,23,Red
Heliotrope,#db85fc,219,133,252,Purple
Ceil,#8da3dc,141,163,220,Blue
Peru,#c1804b,193,128,75,Brown
Vegas Gold,#c9a25b,201,162,91,Brown
Toolbox,#7284be,114,132,190,Blue
Yellow (Ryb),#f9fe49,249,254,73,Yellow
Pale Green,#98fd8e,152,253,142,Green
Denim,#195dd9,25,93,217,Blue
Medium Spring Bud,#d4e298,212,226,152,Yellow
Iris,#4f33d7,79,51,215,Blue
Aquamarine,#5dfce3,93,252,227,Green
Purple Heart,#7329a0,115,41,160,Purple
Forest Green (Web),#248518,36,133,24,Green
Red (Ncs),#c80939,200,9,57,Red
Pansy Purple,#65134e,101,19,78,Purple
Purple (Munsell),#af08ce,175,8,206,Pink
Urobilin,#ecb022,236,176,34,Yellow
Pale Silver,#d2bbc2,210,187,194,Grey
Paris Green,#47e885,71,232,133,Green
Olive Drab (Web) (Olive Drab #3),#688e4a,104,142,74,Green
Glitter,#d8ecf1,216,236,241,Blue
Jade,#0bb96c,11,185,108,Green
Firebrick,#af221b,175,34,27,Red
Purple (Munsell),#9f14aa,159,20,170,Purple
Dark Red,#8c1501,140,21,1,Brown
Pearly Purple,#a864b1,168,100,177,Purple
Lime Green,#2edb35,46,219,53,Green
Celadon Green,#227677,34,118,119,Green
Big Dip O’Ruby,#9a2650,154,38,80,Brown
Purple Heart,#68208e,104,32,142,Purple
Coral Red,#fc3d35,252,61,53,Orange
Purple (Html/Css),#830f7e,131,15,126,Purple
Vivid Auburn,#982614,152,38,20,Brown
Palatinate Blue,#3832e3,56,50,227,Blue
Royal Fuchsia,#ca25b3,202,37,179,Pink
Crimson Glory,#be1533,190,21,51,Red
French Blue,#0067b7,0,103,183,Blue
Copper Red,#d3684c,211,104,76,Brown
Pale Aqua,#c7d2f0,199,210,240,Purple
Ginger,#b35e08,179,94,8,Orange
Sangria,#90000d,144,0,13,Red
Byzantine,#bf1cb9,191,28,185,Pink
Mellow Apricot,#efba6b,239,186,107,Yellow
Android Green,#adbd23,173,189,35,Green
Dark Orchid,#9e40cc,158,64,204,Purple
La Salle Green,#097030,9,112,48,Green
Light Slate Gray,#88869f,136,134,159,Grey
Oxford Blue,#070d32,7,13,50,Blue
Ufo Green,#2cf56a,44,245,106,Green
Powder Blue (Web),#b3e0d4,179,224,212,Grey
Antique Fuchsia,#9b5e88,155,94,136,Purple
Dark Cerulean,#2b4b80,43,75,128,Blue
Smoky Black,#1f0c01,31,12,1,Brown
Medium Sea Green,#56b157,86,177,87,Green
Lilac,#b6a6c8,182,166,200,Grey
Fluorescent Pink,#f31b8f,243,27,143,Pink
Field Drab,#706025,112,96,37,Green
Bright Cerulean,#16a0dd,22,160,221,Blue
Lime (Web) (X11 Green),#04f812,4,248,18,Green
Saffron,#f4bd39,244,189,57,Yellow
Medium Sea Green,#32b34d,50,179,77,Green
Olive Drab (Web) (Olive Drab #3),#899b2e,137,155,46,Green
Boysenberry,#932c6a,147,44,106,Purple
Zinnwaldite Brown,#2a2d0d,42,45,13,Green
Tiffany Blue,#15c5b2,21,197,178,Blue
Cyan (Process),#01a5ef,1,165,239,Blue
Dark Terra Cotta,#e35259,227,82,89,Red
Sandy Taupe,#836b19,131,107,25,Brown
Razzle Dazzle Rose,#df32ed,223,50,237,Pink
United Nations Blue,#507fe0,80,127,224,Blue
Rose Vale,#a86647,168,102,71,Brown
Ufo Green,#3ec977,62,201,119,Green
Green (Ryb),#8aa82f,138,168,47,Green
Copper,#bd7b3d,189,123,61,Brown
Turquoise Green,#9de0b8,157,224,184,Green
Blast-Off Bronze,#aa6f5c,170,111,92,Brown
Neon Green,#35fc11,53,252,17,Green
Blue Bell,#a4a1c2,164,161,194,Grey
Brass,#92a344,146,163,68,Green
Satin Sheen Gold,#c8a143,200,161,67,Yellow
Indian Yellow,#ebb159,235,177,89,Orange
Big Dip O’Ruby,#932b41,147,43,65,Brown
Kelly Green,#3cb413,60,180,19,Green
Mantis,#6ab35a,106,179,90,Green
Teal Blue,#3b7990,59,121,144,Blue
Pearl Aqua,#93dcbc,147,220,188,Green
Purple Pizzazz,#fe52c4,254,82,196,Pink
Avocado,#607a0a,96,122,10,Green
Mellow Yellow,#fedc71,254,220,113,Yellow
Pale Spring Bud,#e5fcc5,229,252,197,Yellow
Coffee,#7a5038,122,80,56,Brown
Cerulean,#1572ab,21,114,171,Blue
Onyx,#33453b,51,69,59,Grey
Dark Gray,#acafae,172,175,174,Grey
Lavender Rose,#f3ace1,243,172,225,Pink
Medium Turquoise,#46cfbe,70,207,190,Green
Oxford Blue,#0d073d,13,7,61,Blue
Light Fuchsia Pink,#fb8bf0,251,139,240,Pink
Electric Purple,#be04df,190,4,223,Purple
Citrine,#d6da06,214,218,6,Yellow
Pale Cerulean,#96c6e2,150,198,226,Blue
Brass,#88a13f,136,161,63,Green
Meat Brown,#e7b94e,231,185,78,Orange
Persian Blue,#1c1fc8,28,31,200,Blue
Mint,#4e9682,78,150,130,Green
Dark Yellow,#99882f,153,136,47,Green
Purple Pizzazz,#f040db,240,64,219,Pink
Light Gray,#c9d9d3,201,217,211,Grey
Majorelle Blue,#514ceb,81,76,235,Blue
Inchworm,#a5e85c,165,232,92,Green
Purple (Html/Css),#6e0b70,110,11,112,Purple
Tractor Red,#f30a2f,243,10,47,Red
Iris,#5c2bc6,92,43,198,Blue
Pastel Pink,#d7b6a4,215,182,164,Brown
Light Khaki,#e0f196,224,241,150,Yellow
Sandy Taupe,#7d6f14,125,111,20,Green
Dark Sea Green,#8bb385,139,179,133,Green
Brilliant Rose,#f44fa4,244,79,164,Pink
Dark Sea Green,#74c597,116,197,151,Green
Palatinate Blue,#1a27df,26,39,223,Blue
Sandy Taupe,#90831f,144,131,31,Green
Pastel Green,#7fe072,127,224,114,Green
Beige,#e8f8db,232,248,219,Green
Tropical Rain Forest,#026561,2,101,97,Green
Opera Mauve,#bb79b2,187,121,178,Purple
Dark Slate Blue,#483a98,72,58,152,Blue
Straw,#d3d779,211,215,121,Yellow
Medium Aquamarine,#50d3a1,80,211,161,Green
Dollar Bill,#8db363,141,179,99,Green
Pansy Purple,#6d2041,109,32,65,Brown
Green-Yellow,#96fe25,150,254,37,Green
Deep Lilac,#97569d,151,86,157,Purple
Bright Lavender,#ab8bf9,171,139,249,Blue
Android Green,#a2ca54,162,202,84,Green
Dogwood Rose,#d21463,210,20,99,Pink
Sandy Taupe,#817a20,129,122,32,Green
Neon Green,#34fd0d,52,253,13,Green
Bright Cerulean,#16a0ec,22,160,236,Blue
Otter Brown,#5d4830,93,72,48,Brown
Lime Green,#22d707,34,215,7,Green
Baby Blue Eyes,#9fc9f2,159,201,242,Blue
Tyrian Purple,#4b0543,75,5,67,Purple
Blue-Violet,#7a30d2,122,48,210,Purple
Persian Blue,#151eb7,21,30,183,Blue
Turquoise Green,#a1dbbd,161,219,189,Green
Black Leather Jacket,#223223,34,50,35,Green
Rosewood,#6c0718,108,7,24,Brown
Slate Blue,#6d65d7,109,101,215,Purple
Rich Lavender,#ab6de9,171,109,233,Purple
Sacramento State Green,#0e5541,14,85,65,Green
Tenné (Tawny),#c86b00,200,107,0,Orange
Rose Taupe,#935451,147,84,81,Brown
Army Green,#506011,80,96,17,Green
Maya Blue,#5fc4e6,95,196,230,Blue
Ucla Blue,#4b5f99,75,95,153,Blue
Fandango,#a33496,163,52,150,Purple
Mint,#3d9a88,61,154,136,Green
Rich Brilliant Lavender,#f293f9,242,147,249,Pink
Orchid,#dc7acd,220,122,205,Pink
Toolbox,#7571c5,117,113,197,Blue
Satin Sheen Gold,#cb9a38,203,154,56,Yellow
Fawn,#eca87a,236,168,122,Orange
Majorelle Blue,#494fdd,73,79,221,Blue
Cerise Pink,#f43b8d,244,59,141,Pink
Carolina Blue,#91b1e2,145,177,226,Blue
Olive Drab (Web) (Olive Drab #3),#878725,135,135,37,Green
Brass,#a0ac45,160,172,69,Green
Plum (Traditional),#974392,151,67,146,Purple
Medium Tuscan Red,#7a3542,122,53,66,Brown
Ube,#8f84bf,143,132,191,Blue
Antique Ruby,#8a062e,138,6,46,Red
Deep Magenta,#c002b3,192,2,179,Pink
Pastel Green,#78e062,120,224,98,Green
Inchworm,#87ef54,135,239,84,Green
Purple (Munsell),#a701c7,167,1,199,Purple
Hansa Yellow,#e4cc6a,228,204,106,Yellow
Dark Sienna,#53160e,83,22,14,Brown
Ube,#7a7fd8,122,127,216,Blue
Green (Ncs),#0e9371,14,147,113,Green
Laurel Green,#b7b99a,183,185,154,Grey
Brass,#b1aa2e,177,170,46,Green
Dark Magenta,#a10899,161,8,153,Purple
Mantis,#66c26f,102,194,111,Green
Gray (X11 Gray),#c2b8b9,194,184,185,Grey
Eggshell,#f0ecdd,240,236,221,White
Han Purple,#5e1af5,94,26,245,Blue
Ceil,#90adc6,144,173,198,Grey
Cambridge Blue,#a6c3bd,166,195,189,Grey
Rich Maroon,#b42f5f,180,47,95,Pink
North Texas Green,#1d903e,29,144,62,Green
Rich Maroon,#b3395b,179,57,91,Red
Blue (Ryb),#0922ef,9,34,239,Blue
Dark Orchid,#9a1dcb,154,29,203,Purple
Pink Pearl,#eaa0cb,234,160,203,Pink
Pastel Pink,#d595a2,213,149,162,Brown
Royal Blue (Web),#2e6fe5,46,111,229,Blue
Pear,#c1d71e,193,215,30,Green
Manatee,#9a9ca1,154,156,161,Grey
Mulberry,#cb608a,203,96,138,Pink
Antique Brass,#d49a74,212,154,116,Brown
Byzantine,#b630b4,182,48,180,Purple
Lavender Purple,#8f7fb5,143,127,181,Grey
Telemagenta,#d52f7c,213,47,124,Pink
Inchworm,#9bf061,155,240,97,Green
Verdigris,#3cb7a0,60,183,160,Green
Light Thulian Pink,#de8db1,222,141,177,Pink
Android Green,#bac438,186,196,56,Green
Green (Ryb),#62b022,98,176,34,Green
Earth Yellow,#d0ac61,208,172,97,Yellow
Neon Green,#44e819,68,232,25,Green
Red-Brown,#a1352c,161,53,44,Brown
Medium Slate Blue,#7d64f2,125,100,242,Purple
Persian Pink,#df82ba,223,130,186,Pink
Saffron,#eec026,238,192,38,Yellow
Violet (Web),#f17bee,241,123,238,Pink
Sapphire,#0a5add,10,90,221,Blue
Red-Brown,#a4372a,164,55,42,Brown
Apple Green,#8abf15,138,191,21,Green
Palatinate Blue,#2138d2,33,56,210,Blue
Ruddy Brown,#c0652f,192,101,47,Brown
Sandstorm,#decd4e,222,205,78,Yellow
Raspberry,#e40072,228,0,114,Pink
Purple Heart,#693a96,105,58,150,Purple
Firebrick,#be1c22,190,28,34,Red
Vegas Gold,#d6b455,214,180,85,Yellow
Dark Lavender,#60538a,96,83,138,Purple
Saffron,#fab527,250,181,39,Yellow
Onyx,#323846,50,56,70,Grey
Fandango,#9e287b,158,40,123,Purple
Meat Brown,#e3c349,227,195,73,Yellow
Hot Pink,#fc63b6,252,99,182,Pink
Sky Blue,#89eaec,137,234,236,Blue
Dark Tan,#959f57,149,159,87,Green
Turquoise,#3aedcb,58,237,203,Green
Ufo Green,#40e359,64,227,89,Green
Fulvous,#e6870a,230,135,10,Orange
Dark Pink,#ef5377,239,83,119,Pink
Dark Pastel Blue,#7a94c8,122,148,200,Blue
Pastel Violet,#bd94c0,189,148,192,Purple
Paris Green,#63c777,99,199,119,Green
Sandstorm,#e5cb51,229,203,81,Yellow
Majorelle Blue,#5744e8,87,68,232,Blue
Indigo (Web),#440262,68,2,98,Purple
Ruddy,#f5012b,245,1,43,Red
Celadon Green,#348f81,52,143,129,Blue
Red-Violet,#cc1782,204,23,130,Pink
Dark Orchid,#8839b5,136,57,181,Purple
Denim,#1e5ab5,30,90,181,Blue
Puce,#d87e9c,216,126,156,Pink
Medium Aquamarine,#7cdc9c,124,220,156,Green
Pale Robin Egg Blue,#92e0d2,146,224,210,Green
Ruby,#fe0f63,254,15,99,Red
Charcoal,#2e465f,46,70,95,Grey
Chinese Red,#a2311e,162,49,30,Brown
Psychedelic Purple,#e614e9,230,20,233,Pink
